Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,Gender,HourlyRate,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,No,Travel_Rarely,Research & Development,23,3,Life Sciences,495,Male,54,Research Scientist,4,Single,2201,9,No,16,3,6,4,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,9,4,Life Sciences,496,Male,97,Healthcare Representative,2,Single,6540,9,No,19,3,10,5,3,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,2,Medical,497,Male,82,Laboratory Technician,2,Divorced,3816,1,No,11,3,5,2,3,5,2,0,4
28,No,Travel_Rarely,Sales,9,4,Life Sciences,498,Male,92,Sales Executive,4,Single,5253,1,No,16,3,7,1,3,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,3,Other,499,Male,31,Healthcare Representative,3,Single,10965,8,No,24,4,26,2,3,5,2,0,0
51,No,Travel_Rarely,Sales,14,2,Life Sciences,500,Female,87,Sales Executive,4,Married,4936,4,No,11,3,18,2,2,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,3,Life Sciences,501,Female,96,Research Scientist,3,Married,2543,4,No,13,3,6,3,3,2,2,2,2
34,Yes,Non-Travel,Sales,19,3,Marketing,502,Male,67,Sales Executive,4,Single,5304,8,Yes,13,3,9,3,2,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,3,Life Sciences,505,Female,97,Manager,4,Single,16659,2,Yes,13,3,30,2,3,5,4,1,2
24,No,Travel_Rarely,Sales,10,4,Marketing,507,Female,77,Sales Executive,3,Divorced,4260,1,Yes,12,3,5,2,4,5,2,0,3
30,No,Travel_Rarely,Sales,2,1,Technical Degree,508,Male,72,Sales Representative,2,Married,2476,1,No,18,3,1,3,3,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,1,Technical Degree,510,Male,73,Research Scientist,1,Single,3102,0,No,22,4,7,2,3,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,3,Medical,511,Female,43,Research Scientist,2,Married,2244,1,No,13,3,2,1,3,2,1,1,2
36,No,Travel_Rarely,Sales,2,2,Medical,513,Male,61,Sales Executive,3,Married,7596,1,No,13,3,10,2,3,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,3,Technical Degree,514,Male,40,Research Scientist,4,Single,2285,9,Yes,23,4,3,4,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,14,3,Life Sciences,515,Female,95,Laboratory Technician,1,Divorced,3034,1,No,12,3,18,2,2,18,7,12,17
40,No,Travel_Rarely,Sales,2,2,Marketing,516,Female,46,Sales Executive,2,Divorced,5715,7,No,12,3,8,5,3,5,4,1,3
42,No,Travel_Rarely,Research & Development,1,4,Life Sciences,517,Female,95,Laboratory Technician,1,Divorced,2576,3,No,16,3,8,5,3,5,2,1,2
37,No,Travel_Rarely,Research & Development,10,4,Life Sciences,518,Male,49,Manufacturing Director,2,Single,4197,2,Yes,12,3,18,2,2,1,0,0,1
43,No,Travel_Rarely,Research & Development,12,3,Life Sciences,520,Male,59,Research Director,2,Divorced,14336,1,No,11,3,25,3,3,25,10,3,9
40,No,Travel_Rarely,Research & Development,2,3,Medical,521,Female,78,Laboratory Technician,3,Married,3448,6,No,22,4,20,3,3,1,0,0,0
54,No,Travel_Rarely,Research & Development,5,2,Medical,522,Male,86,Research Director,1,Married,19406,4,No,11,3,24,4,2,4,2,1,2
34,No,Non-Travel,Sales,4,4,Marketing,523,Female,72,Sales Executive,3,Married,6538,9,No,15,3,6,3,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,7,2,Medical,524,Female,31,Manufacturing Director,1,Married,4306,1,No,12,3,13,5,1,13,10,3,12
43,No,Travel_Frequently,Research & Development,21,3,Medical,525,Male,61,Laboratory Technician,4,Married,2258,7,No,20,4,8,1,3,3,2,1,2
43,No,Travel_Rarely,Research & Development,8,4,Other,526,Female,74,Healthcare Representative,3,Divorced,4522,4,Yes,14,3,8,3,3,5,2,0,2
25,No,Travel_Rarely,Sales,4,2,Life Sciences,527,Female,99,Sales Executive,4,Single,4487,1,Yes,11,3,5,3,3,5,4,1,3
37,No,Non-Travel,Research & Development,25,5,Medical,529,Female,72,Research Scientist,3,Married,4449,3,Yes,15,3,15,2,3,13,11,10,7
31,No,Travel_Rarely,Research & Development,1,2,Life Sciences,530,Male,98,Laboratory Technician,1,Married,2218,1,No,12,3,4,3,3,4,2,3,2
39,No,Travel_Frequently,Research & Development,1,1,Life Sciences,531,Male,52,Manager,3,Divorced,19197,1,Yes,14,3,21,3,3,21,8,1,6
56,No,Travel_Frequently,Sales,6,3,Life Sciences,532,Female,86,Sales Executive,1,Married,13212,9,No,11,3,36,0,2,7,7,7,7
30,No,Travel_Rarely,Sales,12,3,Technical Degree,533,Female,83,Sales Executive,3,Single,6577,0,No,11,3,6,6,3,5,4,4,4
41,No,Travel_Rarely,Sales,1,3,Marketing,534,Male,49,Sales Executive,1,Married,8392,1,No,16,3,10,2,3,10,7,0,7
28,No,Travel_Rarely,Research & Development,17,2,Medical,536,Male,79,Laboratory Technician,1,Divorced,4558,1,No,12,3,10,2,3,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,3,3,Medical,538,Male,91,Laboratory Technician,1,Married,4031,5,No,13,3,6,5,3,2,2,0,2
52,No,Travel_Rarely,Research & Development,3,3,Medical,543,Male,39,Manufacturing Director,3,Married,7969,2,Yes,14,3,28,4,3,5,4,0,4
45,No,Travel_Rarely,Research & Development,10,2,Life Sciences,544,Male,69,Research Scientist,4,Married,2654,3,No,21,4,8,3,2,2,2,0,2
52,No,Travel_Rarely,Research & Development,4,2,Life Sciences,546,Female,30,Manager,4,Married,16555,2,No,13,3,31,2,1,5,2,1,4
42,No,Travel_Frequently,Research & Development,29,2,Life Sciences,547,Female,92,Research Scientist,3,Divorced,4556,2,No,11,3,19,3,3,5,4,0,2
30,No,Travel_Rarely,Research & Development,2,3,Life Sciences,548,Female,43,Manufacturing Director,4,Single,6091,2,No,20,4,11,2,3,5,4,0,2
60,No,Travel_Rarely,Research & Development,7,3,Life Sciences,549,Female,41,Manager,1,Married,19566,5,No,11,3,33,5,1,29,8,11,10
46,No,Travel_Rarely,Research & Development,18,3,Medical,550,Female,87,Manufacturing Director,3,Divorced,4810,2,No,14,3,19,5,2,10,7,0,8
42,No,Travel_Frequently,Research & Development,28,4,Technical Degree,551,Female,88,Healthcare Representative,4,Married,4523,0,No,11,3,7,4,4,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,1,Technical Degree,554,Female,62,Sales Representative,2,Single,3202,1,Yes,16,3,6,4,3,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,2,Marketing,555,Female,33,Sales Representative,3,Divorced,2351,0,No,16,3,3,3,2,2,2,1,0
38,No,Travel_Frequently,Research & Development,2,2,Life Sciences,556,Male,42,Laboratory Technician,4,Married,1702,1,Yes,23,4,1,3,3,1,0,0,0
40,No,Travel_Rarely,Sales,2,4,Life Sciences,558,Female,79,Manager,3,Married,18041,0,No,14,3,21,2,3,20,15,1,12
26,No,Travel_Rarely,Research & Development,23,3,Life Sciences,560,Female,90,Research Scientist,4,Divorced,2886,1,No,22,4,3,3,1,3,2,0,2
30,No,Non-Travel,Research & Development,3,3,Life Sciences,562,Male,53,Laboratory Technician,4,Married,2097,4,No,15,3,9,3,1,5,3,1,4
29,No,Travel_Rarely,Research & Development,3,4,Medical,564,Male,93,Research Director,3,Married,11935,1,No,18,3,10,2,3,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,25,5,Technical Degree,565,Female,71,Research Scientist,2,Married,2546,5,No,16,3,6,2,4,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,2,Technical Degree,566,Male,52,Human Resources,4,Single,2564,1,No,12,3,1,3,4,1,0,0,0
30,No,Non-Travel,Sales,22,4,Other,567,Female,69,Sales Executive,1,Married,8412,0,No,11,3,10,3,3,9,8,7,8
57,No,Travel_Rarely,Sales,29,3,Marketing,568,Male,56,Manager,4,Divorced,14118,3,No,12,3,32,3,2,1,0,0,0
50,No,Travel_Rarely,Research & Development,29,4,Life Sciences,569,Male,88,Manager,3,Married,17046,0,No,15,3,28,2,3,27,10,15,7
30,No,Non-Travel,Research & Development,2,3,Medical,571,Female,49,Laboratory Technician,4,Single,2564,0,No,14,3,12,2,2,11,7,6,7
60,No,Travel_Frequently,Sales,28,3,Marketing,573,Female,80,Sales Executive,1,Married,10266,4,No,19,3,22,5,4,18,13,13,11
47,No,Travel_Rarely,Research & Development,2,2,Medical,574,Female,65,Manufacturing Director,4,Divorced,5070,5,No,13,3,20,2,3,5,0,0,4
46,No,Travel_Rarely,Research & Development,2,3,Life Sciences,575,Male,51,Research Director,3,Married,17861,6,No,13,3,26,2,1,3,2,0,1
35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,577,Male,46,Laboratory Technician,3,Single,4230,0,No,15,3,6,2,3,5,4,4,3
54,No,Travel_Rarely,Research & Development,8,4,Life Sciences,578,Female,42,Laboratory Technician,3,Single,3780,7,No,11,3,19,3,3,1,0,0,0
34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,579,Male,62,Research Scientist,3,Divorced,2768,3,No,12,3,14,3,3,7,3,5,7
46,No,Travel_Rarely,Sales,10,3,Marketing,580,Female,94,Sales Executive,4,Married,9071,2,Yes,19,3,15,3,3,3,2,1,2
31,No,Travel_Rarely,Research & Development,9,1,Life Sciences,581,Male,33,Manufacturing Director,2,Divorced,10648,1,No,25,4,13,6,4,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,15,1,Medical,582,Male,56,Manager,3,Married,13610,7,Yes,12,3,15,2,4,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,10,1,Medical,584,Male,38,Laboratory Technician,4,Divorced,3408,7,No,13,3,8,2,3,4,3,1,3
30,No,Travel_Rarely,Sales,7,1,Marketing,585,Male,57,Sales Representative,2,Single,2983,0,No,14,3,4,3,3,3,2,1,2
35,No,Travel_Rarely,Research & Development,16,3,Life Sciences,586,Male,72,Healthcare Representative,3,Married,7632,4,Yes,12,3,10,2,3,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,20,3,Life Sciences,587,Male,66,Healthcare Representative,3,Married,9824,3,No,12,3,12,2,3,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,23,3,Human Resources,590,Female,43,Human Resources,1,Divorced,9950,9,Yes,15,3,11,2,3,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,2,Other,591,Male,97,Laboratory Technician,3,Married,2093,4,No,17,3,8,4,3,2,2,2,0
36,No,Non-Travel,Sales,10,4,Medical,592,Male,32,Sales Executive,4,Single,9980,1,No,14,3,10,3,2,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,4,1,Technical Degree,593,Male,99,Laboratory Technician,3,Single,3894,5,No,16,3,4,3,3,2,2,1,2
48,No,Travel_Rarely,Sales,2,5,Marketing,595,Female,37,Sales Executive,4,Married,4051,2,No,14,3,14,2,3,9,7,6,7
55,No,Travel_Rarely,Sales,18,5,Life Sciences,597,Female,83,Manager,2,Single,16835,3,No,23,4,37,2,3,10,9,7,7
41,No,Non-Travel,Sales,10,2,Life Sciences,599,Male,56,Sales Executive,4,Single,6230,7,No,14,3,16,3,3,14,3,1,10
35,No,Travel_Rarely,Sales,1,3,Marketing,600,Male,85,Sales Executive,3,Married,4717,9,No,11,3,15,2,3,11,9,6,9
40,No,Travel_Rarely,Research & Development,6,3,Life Sciences,601,Female,75,Manufacturing Director,3,Single,13237,7,No,15,3,22,3,3,20,6,5,13
39,No,Travel_Frequently,Research & Development,8,1,Life Sciences,602,Female,48,Laboratory Technician,3,Married,3755,1,No,11,3,8,3,3,8,3,0,7
31,No,Travel_Rarely,Sales,2,1,Life Sciences,604,Male,77,Sales Executive,4,Single,6582,4,Yes,13,3,10,2,4,6,5,0,5
42,No,Travel_Rarely,Research & Development,24,3,Medical,605,Male,56,Manufacturing Director,1,Married,7406,1,Yes,21,4,10,5,2,10,9,5,8
45,No,Travel_Rarely,Sales,2,3,Other,606,Male,61,Sales Executive,2,Married,4805,0,No,19,3,9,3,4,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,17,4,Life Sciences,608,Female,58,Human Resources,3,Divorced,2741,0,Yes,11,3,8,2,2,7,7,1,0
29,No,Travel_Rarely,Research & Development,19,3,Technical Degree,611,Male,34,Manufacturing Director,4,Divorced,4262,4,No,12,3,8,2,4,3,2,1,2
33,No,Travel_Rarely,Research & Development,1,5,Medical,612,Female,95,Research Director,3,Divorced,16184,4,No,19,3,10,2,3,6,1,0,5
31,No,Travel_Rarely,Sales,7,3,Life Sciences,613,Male,44,Manager,4,Divorced,11557,9,No,21,4,10,3,2,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,3,Marketing,614,Male,69,Sales Representative,2,Single,1878,1,Yes,14,3,0,3,3,0,0,0,0
40,No,Non-Travel,Sales,28,3,Other,615,Male,58,Sales Executive,1,Divorced,10932,3,No,15,3,20,2,3,1,0,0,1
41,No,Non-Travel,Research & Development,2,4,Other,616,Female,62,Healthcare Representative,3,Single,6811,2,Yes,17,3,10,3,3,8,7,0,7
26,No,Travel_Rarely,Sales,29,2,Medical,618,Male,45,Sales Executive,3,Divorced,4306,5,No,12,3,8,5,3,0,0,0,0
35,No,Travel_Rarely,Sales,1,3,Medical,620,Female,80,Sales Executive,3,Single,4859,1,No,16,3,5,3,3,5,4,0,3
34,No,Travel_Rarely,Sales,21,4,Life Sciences,621,Male,74,Sales Executive,4,Single,5337,1,No,12,3,10,3,3,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,24,3,Technical Degree,622,Male,66,Laboratory Technician,4,Single,2340,1,Yes,18,3,1,3,1,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,3,Technical Degree,623,Female,59,Manufacturing Director,4,Single,7491,4,No,17,3,12,3,4,6,5,1,2
46,No,Travel_Frequently,Research & Development,18,1,Medical,624,Female,86,Healthcare Representative,3,Married,10527,5,No,11,3,28,3,2,2,2,1,2
41,No,Travel_Rarely,Sales,2,5,Life Sciences,625,Female,91,Manager,1,Married,16595,7,No,16,3,22,2,3,18,16,11,8
37,No,Non-Travel,Sales,9,4,Medical,626,Male,69,Sales Executive,2,Divorced,8834,1,No,13,3,9,6,3,9,5,7,7
52,No,Travel_Rarely,Research & Development,6,2,Technical Degree,630,Male,78,Research Scientist,1,Divorced,5577,3,Yes,12,3,18,3,3,10,9,6,9
32,Yes,Non-Travel,Sales,11,4,Other,631,Male,60,Sales Executive,3,Married,4707,8,No,12,3,6,2,3,4,2,1,2
24,No,Travel_Frequently,Sales,24,3,Medical,632,Male,38,Sales Representative,4,Married,2400,0,No,13,3,3,3,3,2,2,2,1
38,No,Travel_Rarely,Research & Development,10,3,Medical,634,Female,76,Healthcare Representative,3,Married,9824,3,No,19,3,18,4,3,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,635,Female,65,Manufacturing Director,2,Married,6447,6,No,12,3,8,2,2,6,5,4,3
49,No,Travel_Rarely,Research & Development,18,4,Life Sciences,638,Male,58,Research Director,3,Divorced,19502,1,Yes,17,3,31,5,3,31,9,0,9
24,No,Travel_Rarely,Research & Development,23,3,Medical,639,Male,89,Research Scientist,4,Married,2725,1,Yes,11,3,6,3,3,6,5,1,4
26,No,Travel_Rarely,Sales,28,2,Marketing,641,Male,66,Sales Executive,2,Married,6272,1,No,20,4,6,5,4,5,3,1,4
24,No,Travel_Rarely,Research & Development,17,2,Other,643,Male,94,Laboratory Technician,2,Married,2127,1,No,21,4,1,2,3,1,0,0,0
50,No,Travel_Frequently,Human Resources,3,3,Medical,644,Male,99,Manager,2,Married,18200,1,No,11,3,32,2,3,32,5,10,7
25,No,Travel_Rarely,Sales,13,1,Medical,645,Male,40,Sales Representative,3,Married,2096,1,No,11,3,7,1,3,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,7,3,Life Sciences,647,Female,55,Laboratory Technician,3,Married,2886,1,Yes,16,3,6,4,3,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,4,Life Sciences,648,Male,74,Sales Representative,1,Married,2033,1,No,18,3,1,2,4,1,0,0,0
34,No,Travel_Rarely,Research & Development,1,2,Life Sciences,649,Male,83,Research Scientist,4,Married,3622,1,Yes,13,3,6,3,3,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,4,Medical,650,Male,46,Sales Executive,1,Divorced,4233,2,No,17,3,9,2,1,3,1,1,2
35,No,Travel_Rarely,Research & Development,25,2,Other,652,Male,54,Laboratory Technician,4,Single,3681,4,No,14,3,9,3,3,3,2,0,2
31,No,Travel_Rarely,Sales,6,4,Medical,653,Male,66,Sales Executive,4,Divorced,5460,4,No,22,4,13,4,4,7,7,5,7
27,No,Travel_Rarely,Research & Development,6,4,Medical,655,Female,66,Research Scientist,3,Divorced,2187,0,No,12,3,6,5,2,5,3,0,3
37,No,Travel_Rarely,Sales,2,3,Marketing,656,Male,75,Sales Executive,3,Married,9602,4,Yes,11,3,17,3,2,3,0,1,0
20,No,Travel_Rarely,Research & Development,1,3,Life Sciences,657,Female,83,Research Scientist,2,Single,2836,1,No,13,3,1,0,4,1,0,0,0
42,No,Travel_Rarely,Research & Development,2,4,Life Sciences,659,Female,81,Healthcare Representative,4,Married,4089,1,No,13,3,10,4,3,10,2,2,2
43,No,Travel_Rarely,Research & Development,6,4,Other,661,Male,50,Research Director,4,Divorced,16627,4,Yes,14,3,21,3,2,1,0,0,0
38,No,Travel_Rarely,Research & Development,1,1,Life Sciences,662,Female,43,Research Scientist,1,Single,2619,3,No,17,3,8,3,2,0,0,0,0
43,No,Travel_Frequently,Research & Development,9,5,Medical,663,Male,72,Laboratory Technician,3,Divorced,5679,3,Yes,13,3,10,3,3,8,7,4,7
48,No,Travel_Rarely,Research & Development,1,4,Life Sciences,664,Female,40,Manager,1,Married,15402,7,No,11,3,21,3,1,3,2,0,2
44,No,Travel_Rarely,Human Resources,1,4,Life Sciences,665,Female,50,Human Resources,3,Single,5985,4,No,11,3,10,1,4,2,2,0,2
34,No,Travel_Rarely,Sales,14,3,Technical Degree,666,Female,31,Sales Representative,3,Divorced,2579,1,Yes,18,3,8,3,3,8,2,0,6
27,Yes,Travel_Rarely,Sales,2,1,Marketing,667,Male,85,Sales Representative,1,Divorced,3041,0,No,11,3,5,3,3,4,3,0,2
21,No,Travel_Rarely,Sales,22,1,Technical Degree,669,Male,49,Sales Representative,3,Single,3447,1,No,11,3,3,2,3,3,2,1,2
44,No,Travel_Rarely,Research & Development,3,4,Other,671,Male,35,Manager,4,Married,19513,4,Yes,12,3,26,2,4,2,2,0,1
22,No,Travel_Rarely,Research & Development,6,1,Medical,675,Male,69,Research Scientist,3,Married,2773,0,No,20,4,3,3,3,2,2,2,2
33,No,Travel_Rarely,Sales,8,4,Marketing,677,Male,39,Sales Executive,3,Divorced,7104,0,No,12,3,6,3,3,5,0,1,2
32,No,Travel_Rarely,Research & Development,9,4,Life Sciences,679,Female,92,Research Scientist,4,Married,6322,1,Yes,12,3,6,2,2,6,4,0,5
30,No,Travel_Frequently,Research & Development,3,3,Medical,680,Female,71,Research Scientist,3,Divorced,2083,1,No,20,4,1,2,3,1,0,0,0
53,No,Travel_Rarely,Sales,1,1,Medical,682,Female,34,Sales Executive,1,Single,8381,7,No,20,4,18,2,4,14,7,8,10
34,No,Travel_Rarely,Research & Development,1,5,Life Sciences,683,Male,42,Research Scientist,4,Married,2691,1,No,12,3,10,4,2,10,9,8,8
45,Yes,Travel_Frequently,Sales,26,4,Life Sciences,684,Female,100,Sales Executive,1,Married,4286,2,No,14,3,5,4,3,1,1,0,0
26,No,Travel_Rarely,Research & Development,6,3,Life Sciences,686,Female,71,Laboratory Technician,4,Married,2659,1,Yes,13,3,3,2,3,3,2,0,2
37,No,Travel_Rarely,Research & Development,3,3,Other,689,Male,36,Manufacturing Director,3,Married,9434,1,No,15,3,10,2,3,10,7,7,8
29,No,Travel_Rarely,Sales,3,2,Medical,690,Female,62,Sales Executive,3,Married,5561,1,No,14,3,6,5,2,6,0,1,2
35,No,Travel_Rarely,Research & Development,6,4,Life Sciences,691,Male,82,Research Scientist,4,Single,6646,1,No,13,3,17,3,3,17,11,11,8
33,No,Travel_Frequently,Research & Development,6,3,Life Sciences,692,Male,30,Healthcare Representative,4,Divorced,7725,3,No,23,4,15,2,1,13,11,4,7
54,No,Travel_Rarely,Human Resources,19,4,Medical,698,Male,88,Human Resources,2,Married,10725,2,No,15,3,16,1,4,9,7,7,1
36,No,Travel_Rarely,Research & Development,9,2,Medical,699,Male,48,Manufacturing Director,2,Divorced,8847,2,Yes,11,3,13,2,3,3,2,0,2
27,No,Travel_Rarely,Research & Development,3,4,Medical,700,Male,54,Research Scientist,4,Single,2045,0,No,13,3,5,0,3,4,2,1,1
20,Yes,Travel_Rarely,Research & Development,10,1,Medical,701,Male,32,Research Scientist,3,Single,1009,1,Yes,11,3,1,5,3,1,0,1,1
33,Yes,Travel_Frequently,Research & Development,3,3,Life Sciences,702,Male,70,Research Scientist,1,Single,3348,1,Yes,11,3,10,3,3,10,8,9,7
35,No,Non-Travel,Research & Development,3,3,Life Sciences,704,Male,41,Laboratory Technician,3,Married,1281,1,No,18,3,1,3,3,1,0,0,0
23,No,Travel_Rarely,Research & Development,4,3,Medical,705,Male,58,Research Scientist,1,Married,2819,2,No,16,3,5,3,4,3,2,0,2
25,No,Travel_Rarely,Sales,8,3,Life Sciences,707,Male,57,Sales Executive,2,Married,4851,0,No,22,4,4,4,3,3,2,1,2
38,No,Travel_Rarely,Sales,7,4,Marketing,709,Female,46,Sales Executive,4,Single,4028,0,No,20,4,8,2,3,7,7,0,5
29,No,Travel_Frequently,Research & Development,1,4,Life Sciences,710,Male,76,Research Scientist,4,Divorced,2720,1,No,18,3,10,5,3,10,7,2,8
48,No,Travel_Rarely,Sales,2,1,Marketing,712,Male,56,Sales Executive,2,Married,8120,3,No,12,3,12,3,3,2,2,2,2
27,No,Travel_Frequently,Sales,3,1,Medical,714,Female,71,Sales Executive,4,Divorced,4647,1,Yes,20,4,6,3,3,6,5,0,4
37,No,Travel_Rarely,Research & Development,10,2,Life Sciences,715,Male,80,Research Scientist,4,Single,4680,3,No,17,3,4,2,3,1,0,0,0
50,No,Travel_Rarely,Research & Development,28,1,Medical,716,Male,74,Laboratory Technician,3,Married,3221,1,Yes,11,3,20,3,3,20,8,3,8
34,No,Travel_Rarely,Research & Development,9,3,Medical,717,Female,46,Healthcare Representative,2,Single,8621,1,No,14,3,9,3,4,8,7,7,7
24,Yes,Travel_Rarely,Sales,3,2,Life Sciences,720,Female,65,Sales Executive,3,Single,4577,9,No,14,3,4,3,3,2,2,2,0
39,No,Travel_Rarely,Research & Development,2,4,Technical Degree,721,Female,80,Healthcare Representative,3,Single,4553,1,No,11,3,20,4,3,20,7,11,10
32,No,Travel_Rarely,Sales,10,3,Marketing,722,Male,55,Sales Executive,4,Single,5396,1,No,12,3,10,2,2,10,7,0,8
50,Yes,Travel_Frequently,Sales,8,2,Technical Degree,723,Male,50,Sales Executive,3,Married,6796,3,Yes,14,3,18,4,3,4,3,1,3
38,No,Travel_Rarely,Research & Development,1,4,Life Sciences,724,Female,33,Healthcare Representative,4,Single,7625,0,No,13,3,10,4,2,9,7,1,8
27,No,Travel_Rarely,Research & Development,1,2,Life Sciences,725,Female,68,Manufacturing Director,1,Married,7412,1,No,11,3,9,3,3,9,7,0,7
32,No,Travel_Rarely,Research & Development,3,2,Life Sciences,727,Female,39,Research Director,4,Single,11159,3,No,15,3,10,6,3,7,7,7,7
47,No,Travel_Rarely,Sales,14,4,Marketing,728,Male,42,Sales Executive,1,Single,4960,2,No,12,3,20,2,3,7,7,1,7
40,No,Travel_Frequently,Sales,5,4,Life Sciences,729,Male,48,Sales Executive,1,Married,10475,5,Yes,21,4,20,2,3,18,13,1,12
53,No,Travel_Rarely,Research & Development,7,3,Life Sciences,730,Male,59,Research Director,3,Married,14814,3,No,19,3,32,3,3,5,1,1,3
41,No,Travel_Rarely,Human Resources,10,4,Human Resources,731,Male,73,Manager,4,Divorced,19141,3,No,15,3,23,2,2,21,6,12,6
60,No,Travel_Rarely,Sales,16,4,Marketing,732,Male,84,Sales Executive,1,Single,5405,8,No,14,3,10,1,3,2,2,2,2
27,No,Travel_Frequently,Research & Development,10,2,Life Sciences,733,Male,32,Manufacturing Director,1,Divorced,8793,1,No,21,4,9,4,2,9,7,1,7
41,No,Travel_Rarely,Human Resources,1,3,Human Resources,734,Male,59,Manager,3,Married,19189,1,No,12,3,22,3,3,22,7,2,10
50,No,Travel_Rarely,Sales,8,4,Marketing,738,Male,54,Sales Representative,2,Married,3875,7,No,15,3,4,2,3,2,2,2,2
28,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,741,Female,67,Research Scientist,2,Single,2216,7,Yes,13,3,10,4,3,7,7,3,7
36,No,Non-Travel,Research & Development,8,3,Life Sciences,742,Female,63,Research Director,1,Married,11713,9,No,14,3,10,2,3,8,7,0,5
38,No,Travel_Rarely,Research & Development,1,3,Life Sciences,743,Female,81,Manufacturing Director,3,Single,7861,4,Yes,14,3,10,4,4,1,0,0,0
44,No,Non-Travel,Research & Development,24,3,Medical,744,Male,49,Laboratory Technician,3,Single,3708,2,No,14,3,9,5,3,5,2,1,4
47,No,Travel_Frequently,Sales,3,3,Medical,746,Female,49,Sales Executive,3,Divorced,13770,9,Yes,12,3,28,2,2,22,2,11,13
30,No,Travel_Rarely,Sales,27,5,Marketing,747,Male,99,Sales Executive,4,Divorced,5304,7,No,23,4,10,2,2,8,7,7,7
29,No,Travel_Rarely,Sales,10,3,Life Sciences,749,Male,99,Sales Representative,3,Single,2642,1,No,11,3,1,6,3,1,0,0,0
42,Yes,Travel_Frequently,Research & Development,19,3,Medical,752,Male,57,Research Scientist,3,Divorced,2759,6,Yes,12,3,7,2,3,2,2,2,2
43,No,Travel_Frequently,Sales,15,3,Life Sciences,754,Male,47,Sales Executive,4,Married,6804,3,No,18,3,7,5,3,2,2,2,2
34,No,Travel_Rarely,Research & Development,8,2,Medical,757,Female,96,Healthcare Representative,3,Single,6142,3,No,11,3,10,2,3,5,1,4,3
23,No,Travel_Rarely,Research & Development,9,1,Medical,758,Male,37,Laboratory Technician,1,Married,2500,1,No,14,3,5,2,4,4,3,0,2
39,No,Travel_Rarely,Human Resources,3,3,Human Resources,760,Female,44,Human Resources,2,Married,6389,9,No,15,3,12,3,1,8,3,3,6
56,No,Travel_Rarely,Research & Development,9,3,Medical,762,Male,81,Healthcare Representative,4,Married,11103,7,No,11,3,30,1,2,10,7,1,1
40,No,Travel_Rarely,Research & Development,2,1,Medical,763,Female,86,Research Scientist,4,Single,2342,0,Yes,20,4,5,2,2,4,2,2,3
27,No,Travel_Rarely,Research & Development,7,3,Medical,764,Female,55,Healthcare Representative,1,Single,6811,8,No,19,3,9,2,1,7,6,0,7
29,No,Travel_Rarely,Sales,10,3,Marketing,766,Male,83,Sales Representative,2,Divorced,2297,1,No,14,3,2,2,3,2,2,2,2
53,No,Travel_Rarely,Research & Development,6,3,Life Sciences,769,Male,86,Laboratory Technician,4,Single,2450,2,No,17,3,19,4,3,2,2,2,2
35,No,Non-Travel,Research & Development,2,4,Life Sciences,771,Female,61,Healthcare Representative,1,Divorced,5093,2,No,11,3,16,2,4,1,0,0,0
32,No,Travel_Frequently,Research & Development,24,4,Life Sciences,772,Male,80,Laboratory Technician,4,Married,5309,1,No,15,3,10,2,3,10,8,4,7
